ID,Name,Definiton
"1","Analytics","Analytics has emerged as a catch-all term for a variety of different business intelligence (BI)- and application-related initiatives. For some, it is the process of analyzing information from a particular domain, such as website analytics. For others, it is applying the breadth of BI capabilities to a specific content area (for example, sales, service, supply chain and so on). In particular, BI vendors use the “analytics” moniker to differentiate their products from the competition. Increasingly, “analytics” is used to describe statistical and mathematical data analysis that clusters, segments, scores and predicts what scenarios are most likely to happen. Whatever the use cases, “analytics” has moved deeper into the business vernacular. Analytics has garnered a burgeoning interest from business and IT professionals looking to exploit huge mounds of internally generated and externally available data."
"2","Application Architecture","Application architecture is the discipline that guides application design.Application architecture paradigms, such as service-oriented architecture (SOA), provide principles that influence design decisions and patterns that provide proven design solutions."
"3","Application Service Provider (ASP)","An application service provider (ASP) is defined as an enterprise that delivers application functionality and associated services across a network to multiple customers using a rental or usage-based transaction-pricing model. Gartner defines the ASP market as the delivery of standardized application software via a network, though not particularly or exclusively the Internet, through an outsourcing contract predicated on usage-based transaction pricing. The ASP market is composed of a mix of service providers (Web hosting and IT outsourcing), independent software vendors and network/telecommunications providers."
"4","Architecture","Strategic Design, aimed at specifying the high-level structure of a system, in particular those aspects of the system that are most costly to develop or modify.  Architectures consist of a set of components and their connections."
"5","Authentication Technologies","Authentication technologies encompass a wide variety of products and services that implement a range of authentication methods in place of legacy password-based authentication."
"6","Authorization","Authorization is defined as a process ensuring that correctly authenticated users can access only those resources for which the owner has given them approval."
"7","Batch Processing","Batch processing is the processing of application programs and their data individually, with one being completed before the next is started. It is a planned processing procedure typically used for purposes such as preparing payrolls and maintaining inventory records."
"8","Best Practice","Best practice is defined by Gartner as a group of tasks that optimizes the efficiency (cost and risk) or effectiveness (service level) of the business discipline or process to which it contributes. It must be implementable, replicable, transferable and adaptable across industries."
"9","Business Continuity Planning (BCP)","Business continuity planning (BCP) is a broad disaster recovery approach whereby enterprises plan for recovery of the entire business process. This includes a plan for workspaces, telephones, workstations, servers, applications, network connections and any other resources required in the business process."
"10","Business Intelligence (BI)","Business intelligence (BI) is an umbrella term that includes the applications, infrastructure and tools, and best practices that enable access to and analysis of information to improve and optimize decisions and performance."
"11","Business Rule Engines (BRE)","A business rule engine (BRE) is a specific collection of design-time and runtime software that enables an enterprise to explicitly define, analyze, execute, audit and maintain a wide variety of business logic, collectively referred to as “rules.” A BRE can be purchased independently or comes embedded in a business process management suite (BPMS). A BRE enables IT and/or business staff to define rules using decision trees, decision tables, pseudonatural language, programming-like code or other representation techniques."
"12","Cache","A cache is defined as a temporary storage area for instructions and data near a computer’s central processing unit (CPU), usually implemented in high-speed memory. It replicates information from main memory or storage in a way that facilitates quicker access, using fewer resources than the original source. Because data is closer to the CPU, it can be retrieved more quickly. 

This is easily confused with the Caché database, a specialized version of InterSystems&%2339; proprietary Caché database, tailored for use with Epic software and systems, which is the underlying platform for HealthConnect&lt;sup&gt;®&lt;/sup&gt;. This hierarchical database has been designed for maximum speed, business agility, and reliability"
"13","Channel","A channel is defined by a combination of three factors: A target device, for example, a mobile phone, personal digital assistant (PDA) or a PC; an interaction paradigm, for example, a graphical user interface (GUI), e-mail, voice response or video; and business practices, that is, channel-specific elements of business that may include payment services, shipment processes, taxation, customer support and authentication."
"14","Cloud Security Gateways","Cloud security gateways are on-premises or cloud-based security policy enforcement points placed between cloud service consumers and cloud service providers to interject enterprise security policies as the cloud-based resources are accessed. Cloud security gateways consolidate multiple types of security policy enforcement. Example security policies include authentication, single sign-on, authorization, security token mapping, encryption, tokenization, logging, alerting, API control and so on."
